reviewer,Other,pmcid,include,clinical_trial?,protocol?,help?,multiple_power?,fulltext_powercalc,typeof_powercalc,when_powercalc,power_reported,power_value,alpha_reported,alpha_value,samplesize_reported,samplesize_value,typeof_effectsize,effectsize_value,effectsize_justification,any_missing_info,powercalc_reproducible,ANOVA_within_between?,matching_powercalc_stats,matching_powercalc_stats_justification,inappropriatepowercalc_other,inappropriatepowercalc_other_justification,multiple_comparisons_powercalc,multiple_comparisons_powercalc_justification,other_comments,journal,publication_year,impact_factor
EZ,,PMC8952887,Include,Yes,No,YES,No,"The sample size was calculated by using G*Power Software as described in our previous study [32]. 

Going to the REF study (PMC8403369):  A sample size calculation was performed using G*Power Software version 3.1.9.6 (Düsseldorf, Germany) to determine the number of participants in each group. The estimated number of patients needed to assume a rejection criterion of 0.05 and 0.85 (1-beta) power and a large effect (f = 0.65) was ten persons per group, depending on the statistical test used.","A priori (i.e., solves for sample size)",Before running the study,Yes,0.85,Yes,0.05,Yes,10,f,0.65,No justification,"The correlation among repeated measures is not reported, same thing for nonsphericity correction.",No.,"Yes, but I cannot reasonably assume which option they used.",Yes,They indicate that they used a f test in the power calculation and they use an ANOVA for their main test. With this said there's not enough granularity to know exactly what was done. I'll give them the benefit of the doubt.,No,"Well, an effect size of 0.65 is not just large for f it could be classified as very large but again benefit of the doubt.","No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for.",Well they include many comparisons but no correction and p=0.05,,BMC Women's health,2022,1.353
EZ,,PMC8815471,Include,No,No,No,No,"Statistical power was calculated using the G*Power v. 3.0.1 software. Qualitative variables were expressed using absolute and relative abilities. Quantitative variables were expressed as number of measurements, mean and ± standard deviation (SD). The Student t-test was used to compare groups. Correlation analyses were performed using Pearson correlation coefficient and its significance was tested by the respective test. Normality test passed for all variables. In each statistical test performed, the criteria for statistical significance was p ≤ 0.05. All tests were two-tailed","Post hoc (i.e., solves for power)",Unsure,No,,Yes,0.05,No,,Not given,,No justification,,No.,No,Yes,Seemingly they used the t-test for their power calculation as well as for their main outcome.,Unsure (there's not enough information for me to make code yes or no).,Not sure what parameters were input to it....,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis).",No need for it since it's just t-test.,,Physiological research,2021,1.73
EZ,,PMC8244525,Include,No,No,No,No,"We hypothesised that the VFD would lead to a medium clinically important change (50%) in favour of improved ventilation compliance. We hypothesised that the VFD would lead to a medium clinically important change (50%) in favour of improved ventilation compliance. Assuming statistical power (1 − β) of 95%, a significance level (α) of 5%, a medium effect size (0.5) and an odds ratio of 3, a minimum sample size of 98 participants was required. A McNemars test was used to compare the proportion of participants compliant with ventilation guidelines with and without ventilation feedback. Differences in compliance with chest compression recommendations were compared using a related samples wilcoxon signed rank test. Sample size calculations were determined using G*Power, version 3.1.9.2. Data were analysed using IBM SPSS Statistics v 24.0.0.1.

","A priori (i.e., solves for sample size)",Before running the study,Yes,0.95,Yes,0.05,Yes,98,Not given,0.5,No justification,Seemingly nothing,No.,No,Unsure (there's not enough information for me to make code yes or no).,Not sure what method they use for their power calculation,Unsure (there's not enough information for me to make code yes or no).,Not sure what method they used so hard to tell if there's anything that is inappropriate,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis).",Three statistical tests through the paper demarcated as the main analysis,,Resuscitation Plus,2021,NA
EZ,,PMC8005969,Include,No,No,YES,No,"A priori power calculations were conducted using G*Power [22,23] to determine an appropriate sample size. We decided that a medium effect size (d = 0.5) would be the effect size of interest, with a = 0.05, and a desired power (1 − B) = 0.95, which yielded a desired minimum sample size of 28 participants. In order to allow for even counterbalancing of conditions and word lists, we decided to collect data from 36 participants for the study. Thirty-six Mount Allison University students registered in an Introductory Psychology course participated in this experiment in exchange for partial course credit. The ages of participants ranged from 17 to 24, with a mean age of 18.91 (SD = 1.48). Twenty-seven participants identified as female and nine identified as males; all reported normal or corrected to normal vision and hearing. The total testing time for each participant was approximately one hour. Seven additional participants participated in pilot testing for the stimulus sets, and data from one additional participant were excluded, as they were unable to complete the task in the time allotted. The research protocol for this project was approved by the Research Ethics Board of Mount Allison University on November 8, 2016 (Project Code 2016-051).","A priori (i.e., solves for sample size)",Before running the study,Yes,0.95,Yes,0.05,Yes,28,d,0.5,No justification,"Seemingly, no.","Yes, but I've had to make some assumptions.","Yes, but the researchers use the default option without accounting for it (e.g., powering for a ""medium"" effect size by entering f = 0.25).",Unsure (there's not enough information for me to make code yes or no).,Not enough information about what test they used for their main outcome.,Yes,they state using cohen's d when in  reality they plug in f (where 0.5 is not a medium effect size). ,Unsure,I don't know what their main test was...,,Vision (Basel),2021,1.04
EZ,,PMC7547415,Include,No,No,YES,No,"G*Power version 3.1 [69, 70] was used to conduct a power analysis for a two-group comparison using analysis of covariance to detect a large effect (f = 0.40) for the postural sway outcome measure and 0.80 power. The results showed that the required sample size was 52.

Analysis of covariance (ANCOVA) was used to assess between-group final scores for each outcome measure used with baseline scores as covariate.
","A priori (i.e., solves for sample size)",Unsure,Yes,0.8,Yes,0.05,Yes,52,f,0.4,No justification,"Not sure yet, but powering for an ANCOVA ",No.,Unsure what test the power calculation was for,Yes,"Seems like they're powering using an ANCOVA and that that is their main test, but I can't assess it since I don't know the df to put in ",Unsure (there's not enough information for me to make code yes or no).,not enough information to me.,Unsure,Don't know enough,,bmc sports science medicine and rehabilitation,2020,1.86
EZ,,PMC7273017,Include,No,No,No,No,"Power was set at 0.95. A‐priori assumptions used to calculate minimum sample size were a mean (SD) time difference of 10 (7.5)s with a normal parent distribution, using a one‐tailed paired Wilcoxon test for an alpha of 0.025. A sample of 10 was required, with the protocol allowing for additional participants on the same day (interim statistical analysis was prohibited). The primary outcome was analysed using a one‐tailed paired Wilcoxon (signed‐rank) test using SPSS version 1.0.0.1347 (IBM, NY, USA). An alpha of 0.025 was used as a Bonferroni correction for two comparisons. Power was calculated using G*Power version 3.1.9.6 (Heinrich Heine University, Düsseldorf, Germany). Only descriptive statistics were used for secondary outcomes due to the small sample size.

","A priori (i.e., solves for sample size)",Before running the study,Yes,0.95,Yes,0.025,Yes,10,Not given,,No justification,Well they don't seem to be reporting a standardized effect size and I cannot figure out how they got their sample. Running a sensitivity type of power calculation I get 1.3 for the dz effect size but that is mere speculation of what it could be (that number is not found anywhere else in the paper so I'm not sure),No.,No,Yes,Well they state a paired Wilcoxon test in both...,No,not seemingly,"Yes, reasonably so (i.e., the accounting for multiple comparisons matches the analyses conducted)",they use bonferroni correction for their two comparisons (probably not really needed but still cool),,Anesthesia (0003-2409),2020,6.955
EZ,,PMC7349576,Include,No,No,No,No,"For in vivo experiments a priori power analysis performed with G*Power (v. 3.1.9.4; Heinrich-Heine-Universität Düsseldorf, Germany) [41] showed that a sample size of 12 samples (n = 4 for each group) for each time point was determined respecting an effect size of d = 0.6, with a power of 0.95 and α of 0.05 defining an actual power of 0.98 to limit the number of sacrificed animals.

","A priori (i.e., solves for sample size)",Before running the study,Yes,0.95,Yes,0.05,Yes,12,d,0.6,No justification,"Uhm yes so this is apparently a ANOVA power calculation.... so they havent reported how many measurements were made, the correlation between repeated measures but I used the standard settings and got the same sample size.","Yes, but I've had to make some assumptions.","Yes, but the researchers use the default option without accounting for it (e.g., powering for a ""medium"" effect size by entering f = 0.25).",Yes,Well they state that they use an ANOVA for repeated measures for their analysis so...,Yes,they input a d=0.6 in an f test...,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for.","Well, they correct in their other p-values but not for their power calculations.",,Cells (Basel),2020,6.6
EZ,,PMC7190572,Include,No,No,No,No,The software G-power was used to determine the adequate sample size per group.,Unsure,Unsure,No,,No,,No,,Not given,,No justification,they reported nothing,No.,No,Unsure (there's not enough information for me to make code yes or no).,Not enough information,Unsure (there's not enough information for me to make code yes or no).,not enough information,Unsure,Not enough information,,Oncogene,2020,9.867
EZ,,PMC7146211,Include,No,No,No,No,"We used G*Power [29] and ran a series of simulations using R statistical software to determine the sample size needed to be able conduct our least sensitive statistical tests at a power of 80% (α = 0.05, two-tailed). These analyses revealed that we would need a sample size of 191 participants (effect size = 0.3, significance level = 0.05, power = 0.95). We have assumed an attrition/unusable data rate of 20% over the study period (N = 268). Finally, the sample was composed of 370 participants: 188 participants following a vegetarian diet (Mage = 28.87 ± 10.32; MBMI = 21.72 ± 3.24) and 182 participants following an omnivorous diet (Mage = 27.05 ± 8.87; MBMI = 23.07 ± 4.98).

","A priori (i.e., solves for sample size)",Before running the study,Yes,0.95,Yes,0.05,Yes,191,Not given,0.3,No justification,Not sure what test they're powering for...,No.,Unsure what test the power calculation was for,Unsure (there's not enough information for me to make code yes or no).,Not enough info,Unsure (there's not enough information for me to make code yes or no).,Well they don't even report the type of effect size or test so hard to tell..,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis).",t-test seemingly with few comparisons,,Nutrients,2020,5.719
EZ,,PMC6542583,Include,No,No,YES,No,"Based on the mean intensity and standard deviation of a control set of wings, we calculated that a sample size of 6 wings per genotype would allow detection of differences of 20% in the means, in a pair-wise comparison, with a power of 0.8 and α 0.05 (using G*Power). As standard deviations were larger for some genotypes, we aimed for 10 wings per genotype. Data was excluded if the ROI recovery curve failed the ‘replicates test for lack of fit’ in GraphPad Prism, or if the wing moved out of focus during the course of imaging.

","Sensitivity (i.e.,solves for effect size)",After running the study,Yes,0.8,Yes,0.05,Yes,,Not given,,No justification,Really not sure what they're powering for so not enough information,No.,Unsure what test the power calculation was for,Unsure (there's not enough information for me to make code yes or no).,not enough information,Unsure (there's not enough information for me to make code yes or no).,Not entirely sure what they're powering for...,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis).",Seemingly nothing to adjust for.,,eLife,2019,8.146
